Generating full dataset...
Process 0: Noise detected in record 13, parameter 43
Process 1: Noise detected in record 516, parameter 30
Process 0: Noise detected in record 648, parameter 27
Process 0: Noise detected in record 721, parameter 34
Process 1: Noise detected in record 660, parameter 10
Process 0: Noise detected in record 767, parameter 42
Process 1: Noise detected in record 704, parameter 0
Process 0: Noise detected in record 909, parameter 23
Process 0: Noise detected in record 914, parameter 3
Process 0: Noise detected in record 946, parameter 5
Process 1: Noise detected in record 804, parameter 30
Process 1: Noise detected in record 814, parameter 30
Process 1: Noise detected in record 816, parameter 40
Process 1: Noise detected in record 837, parameter 28
Process 0: Cleaning completed
Process 1: Noise detected in record 936, parameter 0
Total records processed across all processes: 4000
Process 1: Cleaning completed
Process 0: Noise detected in record 8, parameter 49
Process 0: Noise detected in record 29, parameter 8
Process 0: Noise detected in record 67, parameter 39
Process 0: Noise detected in record 90, parameter 49
Process 0: Noise detected in record 91, parameter 32
Process 1: Noise detected in record 132, parameter 27
Process 1: Noise detected in record 203, parameter 31
Process 1: Noise detected in record 206, parameter 5
Process 1: Noise detected in record 218, parameter 36
Process 0: Noise detected in record 96, parameter 31
Process 0: Noise detected in record 98, parameter 24
Process 0: Noise detected in record 151, parameter 49
Process 0: Noise detected in record 153, parameter 38
Process 0: Noise detected in record 199, parameter 34
Process 0: Noise detected in record 201, parameter 3
Process 1: Noise detected in record 293, parameter 34
Process 1: Noise detected in record 306, parameter 36
Process 1: Noise detected in record 332, parameter 26
Process 1: Noise detected in record 336, parameter 31
Process 0: Noise detected in record 230, parameter 45
Process 0: Noise detected in record 242, parameter 47
Process 0: Noise detected in record 271, parameter 39
Process 0: Noise detected in record 281, parameter 35
Process 1: Noise detected in record 389, parameter 26
Process 1: Noise detected in record 397, parameter 46
Process 1: Noise detected in record 430, parameter 11
Process 1: Noise detected in record 434, parameter 18
Process 1: Noise detected in record 437, parameter 49
Process 0: Noise detected in record 310, parameter 16
Process 0: Noise detected in record 316, parameter 24
Process 0: Noise detected in record 327, parameter 29
Process 0: Noise detected in record 337, parameter 49
Process 1: Noise detected in record 464, parameter 44
Process 1: Noise detected in record 539, parameter 31
Process 0: Noise detected in record 372, parameter 10
Process 1: Noise detected in record 589, parameter 30
Process 0: Noise detected in record 380, parameter 27
Process 0: Noise detected in record 385, parameter 5
Process 1: Noise detected in record 617, parameter 45
Process 1: Noise detected in record 634, parameter 48
Process 0: Noise detected in record 434, parameter 6
Process 1: Noise detected in record 659, parameter 31
Process 1: Noise detected in record 668, parameter 32
Process 1: Noise detected in record 716, parameter 16
Process 1: Noise detected in record 725, parameter 17
Process 0: Noise detected in record 584, parameter 11
Process 1: Noise detected in record 741, parameter 1
Process 0: Noise detected in record 612, parameter 21
Process 0: Noise detected in record 623, parameter 29
Process 0: Noise detected in record 626, parameter 25
Process 0: Noise detected in record 634, parameter 18
Process 1: Noise detected in record 773, parameter 5
Process 1: Noise detected in record 776, parameter 21
Process 1: Noise detected in record 780, parameter 36
Process 0: Noise detected in record 692, parameter 16
Process 0: Noise detected in record 699, parameter 11
Process 0: Noise detected in record 715, parameter 22
Process 1: Noise detected in record 915, parameter 46
Process 1: Noise detected in record 931, parameter 6
Process 0: Noise detected in record 786, parameter 25
Process 0: Noise detected in record 787, parameter 24
Process 0: Noise detected in record 825, parameter 0
Process 1: Cleaning completed
Process 0: Noise detected in record 977, parameter 37
Process 0: Noise detected in record 992, parameter 29
Process 0: Cleaning completed
Total records processed across all processes: 6000
Process 1: Noise detected in record 30, parameter 27
Process 1: Noise detected in record 67, parameter 44
Process 0: Noise detected in record 7, parameter 35
Process 0: Noise detected in record 48, parameter 48
Process 0: Noise detected in record 78, parameter 1
Process 0: Noise detected in record 91, parameter 17
Process 0: Noise detected in record 209, parameter 7
Process 0: Noise detected in record 214, parameter 29
Process 1: Noise detected in record 127, parameter 39
Process 1: Noise detected in record 162, parameter 8
Process 1: Noise detected in record 176, parameter 43
Process 0: Noise detected in record 306, parameter 4
Process 0: Noise detected in record 338, parameter 34
Process 0: Noise detected in record 367, parameter 31
Process 0: Noise detected in record 378, parameter 42
Process 1: Noise detected in record 330, parameter 29
Process 0: Noise detected in record 457, parameter 19
Process 1: Noise detected in record 370, parameter 11
Process 1: Noise detected in record 374, parameter 49
Process 1: Noise detected in record 398, parameter 27
Process 1: Noise detected in record 399, parameter 7
Process 0: Noise detected in record 522, parameter 46
Process 0: Noise detected in record 551, parameter 9
Process 0: Noise detected in record 553, parameter 42
Process 0: Noise detected in record 577, parameter 23
Process 1: Noise detected in record 451, parameter 12
Process 1: Noise detected in record 478, parameter 21
Process 1: Noise detected in record 492, parameter 46
Process 1: Noise detected in record 519, parameter 34
Process 0: Noise detected in record 613, parameter 35
Process 0: Noise detected in record 651, parameter 23
Process 0: Noise detected in record 683, parameter 17
Process 1: Noise detected in record 578, parameter 44
Process 0: Noise detected in record 687, parameter 40
Process 0: Noise detected in record 701, parameter 16
Process 0: Noise detected in record 726, parameter 49
Process 0: Noise detected in record 756, parameter 23
Process 1: Noise detected in record 663, parameter 36
Process 0: Noise detected in record 799, parameter 15
Process 0: Noise detected in record 814, parameter 39
Process 0: Noise detected in record 832, parameter 9
Process 1: Noise detected in record 722, parameter 49
Process 1: Noise detected in record 725, parameter 46
Process 1: Noise detected in record 729, parameter 29
Process 0: Noise detected in record 886, parameter 35
Process 0: Noise detected in record 891, parameter 42
Process 0: Noise detected in record 930, parameter 37
Process 0: Noise detected in record 941, parameter 26
Process 1: Noise detected in record 855, parameter 35
Process 0: Cleaning completed
Process 1: Noise detected in record 906, parameter 19
Process 1: Noise detected in record 979, parameter 36
Process 1: Noise detected in record 983, parameter 19
Process 1: Noise detected in record 995, parameter 7
Process 1: Noise detected in record 995, parameter 19
Process 1: Noise detected in record 999, parameter 31
Process 1: Cleaning completed
Total records processed across all processes: 8000
Process 1: Noise detected in record 8, parameter 26
Process 1: Noise detected in record 18, parameter 0
Process 1: Noise detected in record 22, parameter 39
Process 0: Noise detected in record 7, parameter 6
Process 0: Noise detected in record 54, parameter 43
Process 1: Noise detected in record 31, parameter 31
Process 0: Noise detected in record 231, parameter 26
Process 1: Noise detected in record 107, parameter 31
Process 1: Noise detected in record 126, parameter 40
Process 1: Noise detected in record 136, parameter 25
Process 1: Noise detected in record 137, parameter 34
Process 1: Noise detected in record 166, parameter 1
Process 1: Noise detected in record 167, parameter 8
Process 1: Noise detected in record 203, parameter 9
Process 1: Noise detected in record 204, parameter 4
Process 0: Noise detected in record 472, parameter 23
Process 1: Noise detected in record 223, parameter 47
Process 1: Noise detected in record 240, parameter 2
Process 1: Noise detected in record 268, parameter 48
Process 1: Noise detected in record 280, parameter 46
Process 1: Noise detected in record 294, parameter 31
Process 0: Noise detected in record 601, parameter 39
Process 1: Noise detected in record 315, parameter 34
Process 0: Noise detected in record 652, parameter 38
Process 0: Noise detected in record 666, parameter 44
Process 1: Noise detected in record 479, parameter 29
Process 0: Noise detected in record 672, parameter 39
Process 1: Noise detected in record 496, parameter 0
Process 0: Noise detected in record 789, parameter 13
Process 1: Noise detected in record 576, parameter 38
Process 1: Noise detected in record 609, parameter 19
Process 1: Noise detected in record 616, parameter 30
Process 0: Noise detected in record 871, parameter 31
Process 0: Noise detected in record 896, parameter 31
Process 1: Noise detected in record 675, parameter 18
Process 0: Noise detected in record 939, parameter 14
Process 1: Noise detected in record 742, parameter 2
Process 1: Noise detected in record 767, parameter 10
Process 0: Noise detected in record 989, parameter 42
Process 0: Cleaning completed
Process 1: Noise detected in record 810, parameter 0
Process 1: Noise detected in record 816, parameter 0
Process 1: Noise detected in record 871, parameter 9
Process 1: Noise detected in record 895, parameter 30
Process 1: Noise detected in record 925, parameter 4
Process 1: Noise detected in record 967, parameter 26
Process 1: Cleaning completed
Total records processed across all processes: 10000
Process 1: Noise detected in record 19, parameter 45
Process 0: Noise detected in record 32, parameter 44
Process 0: Noise detected in record 100, parameter 5
Process 0: Noise detected in record 104, parameter 25
Process 0: Noise detected in record 121, parameter 1
Process 1: Noise detected in record 57, parameter 1
Process 1: Noise detected in record 74, parameter 32
Process 0: Noise detected in record 158, parameter 16
Process 0: Noise detected in record 220, parameter 37
Process 0: Noise detected in record 230, parameter 31
Process 1: Noise detected in record 77, parameter 43
Process 1: Noise detected in record 88, parameter 6
Process 1: Noise detected in record 101, parameter 11
Process 0: Noise detected in record 247, parameter 37
Process 0: Noise detected in record 269, parameter 35
Process 1: Noise detected in record 127, parameter 17
Process 0: Noise detected in record 315, parameter 44
Process 0: Noise detected in record 330, parameter 8
Process 0: Noise detected in record 332, parameter 39
Process 1: Noise detected in record 201, parameter 0
Process 1: Noise detected in record 202, parameter 28
Process 1: Noise detected in record 210, parameter 12
Process 1: Noise detected in record 212, parameter 33
Process 0: Noise detected in record 360, parameter 27
Process 0: Noise detected in record 374, parameter 44
Process 0: Noise detected in record 376, parameter 20
Process 1: Noise detected in record 244, parameter 30
Process 1: Noise detected in record 257, parameter 39
Process 1: Noise detected in record 390, parameter 1
Process 0: Noise detected in record 443, parameter 26
Process 0: Noise detected in record 505, parameter 17
Process 0: Noise detected in record 517, parameter 15
Process 1: Noise detected in record 454, parameter 21
Process 0: Noise detected in record 553, parameter 42
Process 1: Noise detected in record 536, parameter 5
Process 1: Noise detected in record 542, parameter 8
Process 1: Noise detected in record 545, parameter 6
Process 0: Noise detected in record 612, parameter 15
Process 0: Noise detected in record 613, parameter 15
Process 0: Noise detected in record 629, parameter 22
Process 1: Noise detected in record 686, parameter 36
Process 1: Noise detected in record 702, parameter 37
Process 0: Noise detected in record 679, parameter 26
Process 0: Noise detected in record 679, parameter 29
Process 1: Noise detected in record 718, parameter 47
Process 1: Noise detected in record 740, parameter 41
Process 0: Noise detected in record 755, parameter 7
Process 1: Noise detected in record 891, parameter 1
Process 0: Noise detected in record 778, parameter 3
Process 1: Noise detected in record 913, parameter 11
Process 0: Noise detected in record 797, parameter 45
Process 0: Noise detected in record 833, parameter 38
Process 0: Noise detected in record 836, parameter 26
Process 0: Noise detected in record 848, parameter 35
Process 0: Noise detected in record 857, parameter 47
Process 1: Noise detected in record 993, parameter 1
Process 1: Cleaning completed
Process 0: Noise detected in record 924, parameter 16
Process 0: Noise detected in record 927, parameter 25
Process 0: Noise detected in record 930, parameter 11
Process 0: Noise detected in record 955, parameter 27
Process 0: Cleaning completed
Total records processed across all processes: 12000
Process 0: Noise detected in record 7, parameter 36
Process 0: Noise detected in record 7, parameter 44
Process 0: Noise detected in record 75, parameter 19
Process 0: Noise detected in record 75, parameter 49
Process 1: Noise detected in record 19, parameter 40
Process 1: Noise detected in record 80, parameter 21
Process 1: Noise detected in record 125, parameter 41
Process 0: Noise detected in record 137, parameter 31
Process 0: Noise detected in record 167, parameter 16
Process 1: Noise detected in record 173, parameter 23
Process 1: Noise detected in record 186, parameter 2
Process 0: Noise detected in record 185, parameter 40
Process 0: Noise detected in record 219, parameter 9
Process 1: Noise detected in record 221, parameter 46
Process 1: Noise detected in record 240, parameter 12
Process 0: Noise detected in record 251, parameter 46
Process 1: Noise detected in record 279, parameter 4
Process 0: Noise detected in record 271, parameter 12
Process 1: Noise detected in record 360, parameter 16
Process 1: Noise detected in record 361, parameter 23
Process 1: Noise detected in record 381, parameter 37
Process 0: Noise detected in record 343, parameter 7
Process 0: Noise detected in record 344, parameter 7
Process 1: Noise detected in record 420, parameter 5
Process 1: Noise detected in record 428, parameter 12
Process 1: Noise detected in record 484, parameter 7
Process 0: Noise detected in record 476, parameter 8
Process 1: Noise detected in record 546, parameter 29
Process 1: Noise detected in record 583, parameter 30
Process 0: Noise detected in record 557, parameter 22
Process 0: Noise detected in record 585, parameter 35
Process 1: Noise detected in record 714, parameter 29
Process 1: Noise detected in record 739, parameter 15
Process 0: Noise detected in record 702, parameter 3
Process 0: Noise detected in record 705, parameter 23
Process 0: Noise detected in record 721, parameter 16
Process 0: Noise detected in record 727, parameter 2
Process 1: Noise detected in record 777, parameter 16
Process 1: Noise detected in record 790, parameter 32
Process 1: Noise detected in record 827, parameter 3
Process 1: Noise detected in record 830, parameter 44
Process 1: Noise detected in record 863, parameter 17
Process 0: Noise detected in record 805, parameter 23
Process 1: Noise detected in record 895, parameter 2
Process 1: Noise detected in record 913, parameter 27
Process 0: Noise detected in record 856, parameter 48
Process 1: Noise detected in record 951, parameter 16
Process 0: Noise detected in record 898, parameter 26
Process 1: Cleaning completed
Process 0: Noise detected in record 930, parameter 0
Process 0: Noise detected in record 978, parameter 39
Process 0: Cleaning completed
Total records processed across all processes: 14000
Process 1: Noise detected in record 66, parameter 29
Process 1: Noise detected in record 100, parameter 2
Process 1: Noise detected in record 136, parameter 12
Process 0: Noise detected in record 46, parameter 40
Process 0: Noise detected in record 50, parameter 32
Process 0: Noise detected in record 113, parameter 34
Process 0: Noise detected in record 116, parameter 44
Process 1: Noise detected in record 186, parameter 43
Process 0: Noise detected in record 206, parameter 21
Process 1: Noise detected in record 294, parameter 28
Process 1: Noise detected in record 324, parameter 5
Process 1: Noise detected in record 338, parameter 47
Process 0: Noise detected in record 241, parameter 21
Process 0: Noise detected in record 252, parameter 11
Process 0: Noise detected in record 266, parameter 25
Process 0: Noise detected in record 302, parameter 7
Process 0: Noise detected in record 303, parameter 22
Process 1: Noise detected in record 431, parameter 27
Process 1: Noise detected in record 463, parameter 9
Process 0: Noise detected in record 394, parameter 28
Process 0: Noise detected in record 395, parameter 43
Process 0: Noise detected in record 437, parameter 13
Process 1: Noise detected in record 530, parameter 39
Process 1: Noise detected in record 595, parameter 27
Process 1: Noise detected in record 643, parameter 6
Process 1: Noise detected in record 645, parameter 26
Process 0: Noise detected in record 472, parameter 25
Process 0: Noise detected in record 482, parameter 18
Process 0: Noise detected in record 545, parameter 4
Process 0: Noise detected in record 563, parameter 25
Process 1: Noise detected in record 684, parameter 17
Process 0: Noise detected in record 663, parameter 23
Process 0: Noise detected in record 663, parameter 42
Process 0: Noise detected in record 670, parameter 47
Process 1: Noise detected in record 795, parameter 46
Process 0: Noise detected in record 702, parameter 22
Process 0: Noise detected in record 762, parameter 22
Process 0: Noise detected in record 794, parameter 21
Process 1: Noise detected in record 857, parameter 17
Process 0: Noise detected in record 809, parameter 1
Process 0: Noise detected in record 844, parameter 36
Process 1: Noise detected in record 948, parameter 12
Process 1: Noise detected in record 961, parameter 15
Process 0: Noise detected in record 847, parameter 29
Process 1: Cleaning completed
Process 0: Noise detected in record 870, parameter 36
Process 0: Noise detected in record 891, parameter 43
Process 0: Noise detected in record 937, parameter 11
Process 0: Cleaning completed
Total records processed across all processes: 16000
Process 1: Noise detected in record 35, parameter 28
Process 0: Noise detected in record 37, parameter 37
Process 0: Noise detected in record 64, parameter 46
Process 0: Noise detected in record 96, parameter 3
Process 0: Noise detected in record 145, parameter 32
Process 1: Noise detected in record 167, parameter 4
Process 1: Noise detected in record 275, parameter 28
Process 1: Noise detected in record 277, parameter 32
Process 1: Noise detected in record 278, parameter 6
Process 1: Noise detected in record 296, parameter 18
Process 0: Noise detected in record 270, parameter 42
Process 0: Noise detected in record 283, parameter 22
Process 0: Noise detected in record 308, parameter 49
Process 0: Noise detected in record 326, parameter 43
Process 0: Noise detected in record 338, parameter 10
Process 0: Noise detected in record 340, parameter 40
Process 1: Noise detected in record 400, parameter 48
Process 1: Noise detected in record 404, parameter 17
Process 0: Noise detected in record 384, parameter 26
Process 1: Noise detected in record 475, parameter 20
Process 1: Noise detected in record 542, parameter 3
Process 0: Noise detected in record 441, parameter 23
Process 0: Noise detected in record 481, parameter 18
Process 1: Noise detected in record 592, parameter 9
Process 1: Noise detected in record 620, parameter 1
Process 1: Noise detected in record 653, parameter 12
Process 1: Noise detected in record 657, parameter 15
Process 1: Noise detected in record 660, parameter 46
Process 0: Noise detected in record 659, parameter 22
Process 0: Noise detected in record 675, parameter 3
Process 1: Noise detected in record 703, parameter 37
Process 0: Noise detected in record 703, parameter 20
Process 0: Noise detected in record 733, parameter 27
Process 0: Noise detected in record 751, parameter 9
Process 0: Noise detected in record 759, parameter 6
Process 1: Noise detected in record 744, parameter 41
Process 1: Noise detected in record 749, parameter 14
Process 1: Noise detected in record 772, parameter 36
Process 0: Noise detected in record 795, parameter 34
Process 0: Noise detected in record 826, parameter 37
Process 1: Noise detected in record 801, parameter 29
Process 1: Noise detected in record 842, parameter 22
Process 0: Noise detected in record 843, parameter 17
Process 0: Noise detected in record 886, parameter 11
Process 0: Noise detected in record 927, parameter 32
Process 1: Noise detected in record 910, parameter 41
Process 0: Noise detected in record 940, parameter 28
Process 0: Noise detected in record 952, parameter 0
Process 1: Cleaning completed
Process 0: Cleaning completed
Total records processed across all processes: 18000
Process 0: Noise detected in record 12, parameter 23
Process 0: Noise detected in record 30, parameter 37
Process 0: Noise detected in record 72, parameter 31
Process 0: Noise detected in record 105, parameter 31
Process 0: Noise detected in record 115, parameter 41
Process 0: Noise detected in record 122, parameter 14
Process 1: Noise detected in record 102, parameter 20
Process 1: Noise detected in record 133, parameter 34
Process 0: Noise detected in record 183, parameter 1
Process 0: Noise detected in record 200, parameter 20
Process 1: Noise detected in record 134, parameter 7
Process 1: Noise detected in record 154, parameter 42
Process 0: Noise detected in record 222, parameter 3
Process 1: Noise detected in record 255, parameter 12
Process 0: Noise detected in record 313, parameter 19
Process 1: Noise detected in record 307, parameter 5
Process 0: Noise detected in record 373, parameter 47
Process 0: Noise detected in record 418, parameter 13
Process 1: Noise detected in record 362, parameter 32
Process 1: Noise detected in record 370, parameter 43
Process 0: Noise detected in record 458, parameter 12
Process 0: Noise detected in record 537, parameter 22
Process 0: Noise detected in record 578, parameter 7
Process 0: Noise detected in record 591, parameter 32
Process 0: Noise detected in record 604, parameter 27
Process 1: Noise detected in record 441, parameter 29
Process 1: Noise detected in record 460, parameter 12
Process 0: Noise detected in record 647, parameter 30
Process 0: Noise detected in record 655, parameter 26
Process 1: Noise detected in record 525, parameter 27
Process 0: Noise detected in record 680, parameter 44
Process 0: Noise detected in record 684, parameter 25
Process 1: Noise detected in record 614, parameter 41
Process 1: Noise detected in record 617, parameter 16
Process 1: Noise detected in record 621, parameter 40
Process 0: Noise detected in record 748, parameter 20
Process 0: Noise detected in record 749, parameter 9
Process 1: Noise detected in record 688, parameter 12
Process 1: Noise detected in record 688, parameter 18
Process 0: Noise detected in record 775, parameter 5
Process 0: Noise detected in record 798, parameter 37
Process 0: Noise detected in record 806, parameter 5
Process 1: Noise detected in record 788, parameter 26
Process 0: Noise detected in record 830, parameter 47
Process 0: Noise detected in record 836, parameter 23
Process 1: Noise detected in record 833, parameter 5
Process 1: Noise detected in record 834, parameter 12
Process 1: Noise detected in record 845, parameter 5
Process 0: Noise detected in record 858, parameter 0
Process 1: Noise detected in record 859, parameter 7
Process 1: Noise detected in record 892, parameter 9
Process 0: Noise detected in record 919, parameter 37
Process 0: Noise detected in record 935, parameter 49
Process 0: Noise detected in record 968, parameter 25
Process 1: Noise detected in record 931, parameter 38
Process 0: Noise detected in record 978, parameter 49
Process 0: Noise detected in record 980, parameter 13
Process 0: Noise detected in record 992, parameter 33
Process 1: Noise detected in record 946, parameter 31
Process 0: Cleaning completed
Process 1: Cleaning completed
Total records processed across all processes: 20000
Process 1: Noise detected in record 42, parameter 15
Process 1: Noise detected in record 49, parameter 14
Process 1: Noise detected in record 94, parameter 27
Process 0: Noise detected in record 0, parameter 13
Process 0: Noise detected in record 17, parameter 14
Process 0: Noise detected in record 32, parameter 41
Process 0: Noise detected in record 36, parameter 10
Process 0: Noise detected in record 54, parameter 7
Process 0: Noise detected in record 100, parameter 30
Process 1: Noise detected in record 216, parameter 47
Process 0: Noise detected in record 137, parameter 40
Process 0: Noise detected in record 205, parameter 39
Process 1: Noise detected in record 259, parameter 46
Process 1: Noise detected in record 314, parameter 27
Process 1: Noise detected in record 328, parameter 37
Process 1: Noise detected in record 337, parameter 13
Process 1: Noise detected in record 346, parameter 49
Process 1: Noise detected in record 354, parameter 7
Process 1: Noise detected in record 381, parameter 14
Process 0: Noise detected in record 314, parameter 40
Process 0: Noise detected in record 335, parameter 6
Process 1: Noise detected in record 385, parameter 20
Process 1: Noise detected in record 513, parameter 7
Process 1: Noise detected in record 513, parameter 17
Process 1: Noise detected in record 541, parameter 3
Process 0: Noise detected in record 476, parameter 10
Process 0: Noise detected in record 548, parameter 15
Process 1: Noise detected in record 559, parameter 33
Process 1: Noise detected in record 563, parameter 4
Process 1: Noise detected in record 621, parameter 31
Process 0: Noise detected in record 694, parameter 10
Process 0: Noise detected in record 705, parameter 5
Process 0: Noise detected in record 735, parameter 40
Process 0: Noise detected in record 768, parameter 7
Process 1: Noise detected in record 947, parameter 1
Process 0: Noise detected in record 782, parameter 29
Process 0: Noise detected in record 807, parameter 11
Process 0: Noise detected in record 823, parameter 45
Process 1: Cleaning completed
Process 0: Noise detected in record 856, parameter 0
Process 0: Noise detected in record 908, parameter 13
Process 0: Noise detected in record 915, parameter 29
Process 0: Noise detected in record 961, parameter 27
Process 0: Noise detected in record 971, parameter 36
Process 0: Noise detected in record 998, parameter 9
Process 0: Cleaning completed
Total records processed across all processes: 22000
Process 0: Noise detected in record 71, parameter 36
Process 0: Noise detected in record 115, parameter 25
Process 0: Noise detected in record 133, parameter 43
Process 0: Noise detected in record 139, parameter 15
Process 0: Noise detected in record 155, parameter 39
Process 0: Noise detected in record 157, parameter 9
Process 1: Noise detected in record 33, parameter 33
Process 1: Noise detected in record 38, parameter 19
Process 1: Noise detected in record 46, parameter 27
Process 1: Noise detected in record 66, parameter 24
Process 1: Noise detected in record 97, parameter 40
Process 1: Noise detected in record 115, parameter 6
Process 1: Noise detected in record 126, parameter 45
Process 0: Noise detected in record 216, parameter 1
Process 0: Noise detected in record 223, parameter 46
Process 0: Noise detected in record 297, parameter 11
Process 1: Noise detected in record 179, parameter 11
Process 1: Noise detected in record 244, parameter 30
Process 1: Noise detected in record 246, parameter 21
Process 0: Noise detected in record 346, parameter 46
Process 0: Noise detected in record 367, parameter 30
Process 1: Noise detected in record 289, parameter 34
Process 1: Noise detected in record 315, parameter 29
Process 0: Noise detected in record 420, parameter 35
Process 0: Noise detected in record 424, parameter 28
Process 0: Noise detected in record 456, parameter 13
Process 1: Noise detected in record 388, parameter 42
Process 0: Noise detected in record 501, parameter 29
Process 0: Noise detected in record 504, parameter 0
Process 0: Noise detected in record 521, parameter 41
Process 0: Noise detected in record 559, parameter 25
Process 0: Noise detected in record 577, parameter 30
Process 1: Noise detected in record 493, parameter 40
Process 0: Noise detected in record 632, parameter 10
Process 1: Noise detected in record 511, parameter 8
Process 0: Noise detected in record 661, parameter 1
Process 0: Noise detected in record 687, parameter 10
Process 0: Noise detected in record 703, parameter 16
Process 1: Noise detected in record 590, parameter 31
Process 1: Noise detected in record 623, parameter 2
Process 1: Noise detected in record 635, parameter 25
Process 0: Noise detected in record 716, parameter 0
Process 0: Noise detected in record 745, parameter 44
Process 0: Noise detected in record 752, parameter 39
Process 1: Noise detected in record 666, parameter 26
Process 1: Noise detected in record 667, parameter 43
Process 1: Noise detected in record 674, parameter 37
Process 0: Noise detected in record 900, parameter 42
Process 0: Noise detected in record 931, parameter 17
Process 1: Noise detected in record 724, parameter 41
Process 0: Noise detected in record 937, parameter 34
Process 1: Noise detected in record 820, parameter 34
Process 1: Noise detected in record 833, parameter 3
Process 0: Cleaning completed
Process 1: Noise detected in record 846, parameter 39
Process 1: Noise detected in record 856, parameter 27
Total records processed across all processes: 24000
Process 1: Cleaning completed
Process 0: Noise detected in record 49, parameter 35
Process 0: Noise detected in record 105, parameter 16
Process 1: Noise detected in record 13, parameter 7
Process 1: Noise detected in record 34, parameter 0
Process 1: Noise detected in record 36, parameter 6
